Model,Region,MAE,RMSE,R2,MAPE
LSTM,BRPL,181.8800048828125,255.6999969482422,0.7879,10.56
XGBoost,BRPL,185.05,264.68,0.7728,10.22
LSTM,BYPL,83.54000091552734,118.37000274658203,0.8371,10.01
XGBoost,BYPL,82.04,120.45,0.8314,9.24
LSTM,DELHI,399.2300109863281,545.0499877929688,0.8171,9.58
XGBoost,DELHI,383.98,550.2,0.8136,9.0
LSTM,MES,3.549999952316284,4.840000152587891,0.6228,12.55
XGBoost,MES,2.77,3.79,0.7691,9.83
LSTM,NDMC,20.739999771118164,27.469999313354492,0.8275,13.46
XGBoost,NDMC,19.0,26.46,0.8399,12.08
LSTM,NDPL,143.77999877929688,187.80999755859375,0.7317,11.83
XGBoost,NDPL,119.14,164.43,0.7944,9.55
